Generating 20000000000 using 100 maps with step of 200000000
14/06/12 09:35:23 INFO mapred.JobClient: Running job: job_201406111226_0008
14/06/12 09:35:24 INFO mapred.JobClient:  map 0% reduce 0%
14/06/12 09:35:50 INFO mapred.JobClient:  map 1% reduce 0%
14/06/12 09:36:08 INFO mapred.JobClient:  map 2% reduce 0%
14/06/12 09:36:26 INFO mapred.JobClient:  map 3% reduce 0%
14/06/12 09:36:45 INFO mapred.JobClient:  map 4% reduce 0%
14/06/12 09:37:03 INFO mapred.JobClient:  map 5% reduce 0%
14/06/12 09:37:22 INFO mapred.JobClient:  map 6% reduce 0%
14/06/12 09:37:41 INFO mapred.JobClient:  map 7% reduce 0%
14/06/12 09:38:00 INFO mapred.JobClient:  map 8% reduce 0%
14/06/12 09:38:20 INFO mapred.JobClient:  map 9% reduce 0%
14/06/12 09:38:39 INFO mapred.JobClient:  map 10% reduce 0%
14/06/12 09:38:58 INFO mapred.JobClient:  map 11% reduce 0%
14/06/12 09:39:18 INFO mapred.JobClient:  map 12% reduce 0%
14/06/12 09:39:38 INFO mapred.JobClient:  map 13% reduce 0%
14/06/12 09:39:58 INFO mapred.JobClient:  map 14% reduce 0%
14/06/12 09:40:19 INFO mapred.JobClient:  map 15% reduce 0%
14/06/12 09:40:38 INFO mapred.JobClient:  map 16% reduce 0%
14/06/12 09:40:59 INFO mapred.JobClient:  map 17% reduce 0%
14/06/12 09:41:18 INFO mapred.JobClient:  map 18% reduce 0%
14/06/12 09:41:37 INFO mapred.JobClient:  map 19% reduce 0%
14/06/12 09:41:57 INFO mapred.JobClient:  map 20% reduce 0%
14/06/12 09:42:18 INFO mapred.JobClient:  map 21% reduce 0%
14/06/12 09:42:39 INFO mapred.JobClient:  map 22% reduce 0%
14/06/12 09:43:00 INFO mapred.JobClient:  map 23% reduce 0%
14/06/12 09:43:20 INFO mapred.JobClient:  map 24% reduce 0%
14/06/12 09:43:41 INFO mapred.JobClient:  map 25% reduce 0%
14/06/12 09:44:01 INFO mapred.JobClient:  map 26% reduce 0%
14/06/12 09:44:22 INFO mapred.JobClient:  map 27% reduce 0%
14/06/12 09:44:42 INFO mapred.JobClient:  map 28% reduce 0%
14/06/12 09:45:01 INFO mapred.JobClient:  map 29% reduce 0%
14/06/12 09:45:22 INFO mapred.JobClient:  map 30% reduce 0%
14/06/12 09:45:43 INFO mapred.JobClient:  map 31% reduce 0%
14/06/12 09:46:04 INFO mapred.JobClient:  map 32% reduce 0%
14/06/12 09:46:26 INFO mapred.JobClient:  map 33% reduce 0%
14/06/12 09:46:47 INFO mapred.JobClient:  map 34% reduce 0%
14/06/12 09:47:06 INFO mapred.JobClient:  map 35% reduce 0%
14/06/12 09:47:27 INFO mapred.JobClient:  map 36% reduce 0%
14/06/12 09:47:47 INFO mapred.JobClient:  map 37% reduce 0%
14/06/12 09:48:08 INFO mapred.JobClient:  map 38% reduce 0%
14/06/12 09:48:28 INFO mapred.JobClient:  map 39% reduce 0%
14/06/12 09:48:50 INFO mapred.JobClient:  map 40% reduce 0%
14/06/12 09:49:11 INFO mapred.JobClient:  map 41% reduce 0%
14/06/12 09:49:33 INFO mapred.JobClient:  map 42% reduce 0%
14/06/12 09:49:53 INFO mapred.JobClient:  map 43% reduce 0%
14/06/12 09:50:15 INFO mapred.JobClient:  map 44% reduce 0%
14/06/12 09:50:37 INFO mapred.JobClient:  map 45% reduce 0%
14/06/12 09:50:57 INFO mapred.JobClient:  map 46% reduce 0%
14/06/12 09:51:17 INFO mapred.JobClient:  map 47% reduce 0%
14/06/12 09:51:38 INFO mapred.JobClient:  map 48% reduce 0%
14/06/12 09:51:58 INFO mapred.JobClient:  map 49% reduce 0%
14/06/12 09:52:19 INFO mapred.JobClient:  map 50% reduce 0%
14/06/12 09:52:40 INFO mapred.JobClient:  map 51% reduce 0%
14/06/12 09:53:01 INFO mapred.JobClient:  map 52% reduce 0%
14/06/12 09:53:22 INFO mapred.JobClient:  map 53% reduce 0%
14/06/12 09:53:44 INFO mapred.JobClient:  map 54% reduce 0%
14/06/12 09:54:05 INFO mapred.JobClient:  map 55% reduce 0%
14/06/12 09:54:25 INFO mapred.JobClient:  map 56% reduce 0%
14/06/12 09:54:46 INFO mapred.JobClient:  map 57% reduce 0%
14/06/12 09:55:07 INFO mapred.JobClient:  map 58% reduce 0%
14/06/12 09:55:28 INFO mapred.JobClient:  map 59% reduce 0%
14/06/12 09:55:50 INFO mapred.JobClient:  map 60% reduce 0%
14/06/12 09:56:11 INFO mapred.JobClient:  map 61% reduce 0%
14/06/12 09:56:32 INFO mapred.JobClient:  map 62% reduce 0%
14/06/12 09:56:56 INFO mapred.JobClient:  map 63% reduce 0%
14/06/12 09:57:17 INFO mapred.JobClient:  map 64% reduce 0%
14/06/12 09:57:39 INFO mapred.JobClient:  map 65% reduce 0%
14/06/12 09:58:01 INFO mapred.JobClient:  map 66% reduce 0%
14/06/12 09:58:24 INFO mapred.JobClient:  map 67% reduce 0%
14/06/12 09:58:46 INFO mapred.JobClient:  map 68% reduce 0%
14/06/12 09:59:08 INFO mapred.JobClient:  map 69% reduce 0%
14/06/12 09:59:31 INFO mapred.JobClient:  map 70% reduce 0%
14/06/12 09:59:54 INFO mapred.JobClient:  map 71% reduce 0%
14/06/12 10:00:19 INFO mapred.JobClient:  map 72% reduce 0%
14/06/12 10:00:44 INFO mapred.JobClient:  map 73% reduce 0%
14/06/12 10:01:11 INFO mapred.JobClient:  map 74% reduce 0%
14/06/12 10:01:36 INFO mapred.JobClient:  map 75% reduce 0%
14/06/12 10:02:03 INFO mapred.JobClient:  map 76% reduce 0%
14/06/12 10:02:29 INFO mapred.JobClient:  map 77% reduce 0%
14/06/12 10:02:56 INFO mapred.JobClient:  map 78% reduce 0%
14/06/12 10:03:28 INFO mapred.JobClient:  map 79% reduce 0%
14/06/12 10:04:00 INFO mapred.JobClient:  map 80% reduce 0%
14/06/12 10:04:32 INFO mapred.JobClient:  map 81% reduce 0%
14/06/12 10:05:04 INFO mapred.JobClient:  map 82% reduce 0%
14/06/12 10:05:41 INFO mapred.JobClient:  map 83% reduce 0%
14/06/12 10:06:17 INFO mapred.JobClient:  map 84% reduce 0%
14/06/12 10:06:57 INFO mapred.JobClient:  map 85% reduce 0%
14/06/12 10:07:40 INFO mapred.JobClient:  map 86% reduce 0%
14/06/12 10:08:28 INFO mapred.JobClient:  map 87% reduce 0%
14/06/12 10:09:19 INFO mapred.JobClient:  map 88% reduce 0%
14/06/12 10:10:13 INFO mapred.JobClient:  map 89% reduce 0%
14/06/12 10:11:13 INFO mapred.JobClient:  map 90% reduce 0%
14/06/12 10:12:21 INFO mapred.JobClient:  map 91% reduce 0%
14/06/12 10:13:30 INFO mapred.JobClient:  map 92% reduce 0%
14/06/12 10:14:58 INFO mapred.JobClient:  map 93% reduce 0%
14/06/12 10:16:47 INFO mapred.JobClient:  map 94% reduce 0%
14/06/12 10:18:08 INFO mapred.JobClient:  map 95% reduce 0%
14/06/12 10:19:28 INFO mapred.JobClient:  map 96% reduce 0%
14/06/12 10:21:09 INFO mapred.JobClient:  map 97% reduce 0%
14/06/12 10:23:16 INFO mapred.JobClient:  map 98% reduce 0%
14/06/12 10:28:46 INFO mapred.JobClient:  map 99% reduce 0%
14/06/12 10:56:08 INFO mapred.JobClient:  map 100% reduce 0%
14/06/12 10:56:12 INFO mapred.JobClient: Job complete: job_201406111226_0008
14/06/12 10:56:12 INFO mapred.JobClient: Counters: 19
14/06/12 10:56:12 INFO mapred.JobClient:   Job Counters 
14/06/12 10:56:12 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=92003644
14/06/12 10:56:12 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/12 10:56:12 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/12 10:56:12 INFO mapred.JobClient:     Launched map tasks=122
14/06/12 10:56:12 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
14/06/12 10:56:12 INFO mapred.JobClient:   File Input Format Counters 
14/06/12 10:56:12 INFO mapred.JobClient:     Bytes Read=0
14/06/12 10:56:12 INFO mapred.JobClient:   File Output Format Counters 
14/06/12 10:56:12 INFO mapred.JobClient:     Bytes Written=2000000000000
14/06/12 10:56:12 INFO mapred.JobClient:   FileSystemCounters
14/06/12 10:56:12 INFO mapred.JobClient:     HDFS_BYTES_READ=8774
14/06/12 10:56:12 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=5544590
14/06/12 10:56:12 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=2000000000000
14/06/12 10:56:12 INFO mapred.JobClient:   Map-Reduce Framework
14/06/12 10:56:12 INFO mapred.JobClient:     Map input records=20000000000
14/06/12 10:56:12 INFO mapred.JobClient:     Physical memory (bytes) snapshot=8127950848
14/06/12 10:56:12 INFO mapred.JobClient:     Spilled Records=0
14/06/12 10:56:12 INFO mapred.JobClient:     CPU time spent (ms)=20249670
14/06/12 10:56:12 INFO mapred.JobClient:     Total committed heap usage (bytes)=2368475136
14/06/12 10:56:12 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=72678903808
14/06/12 10:56:12 INFO mapred.JobClient:     Map input bytes=20000000000
14/06/12 10:56:12 INFO mapred.JobClient:     Map output records=20000000000
14/06/12 10:56:12 INFO mapred.JobClient:     SPLIT_RAW_BYTES=8774
