Generating 4000000000 using 100 maps with step of 40000000
14/06/13 05:31:14 INFO mapred.JobClient: Running job: job_201406122141_0009
14/06/13 05:31:15 INFO mapred.JobClient:  map 0% reduce 0%
14/06/13 05:32:24 INFO mapred.JobClient:  map 1% reduce 0%
14/06/13 05:33:17 INFO mapred.JobClient:  map 2% reduce 0%
14/06/13 05:34:22 INFO mapred.JobClient:  map 3% reduce 0%
14/06/13 05:35:30 INFO mapred.JobClient:  map 4% reduce 0%
14/06/13 05:36:39 INFO mapred.JobClient:  map 5% reduce 0%
14/06/13 05:37:53 INFO mapred.JobClient:  map 6% reduce 0%
14/06/13 05:38:56 INFO mapred.JobClient:  map 7% reduce 0%
14/06/13 05:39:57 INFO mapred.JobClient:  map 8% reduce 0%
14/06/13 05:41:14 INFO mapred.JobClient:  map 9% reduce 0%
14/06/13 05:42:18 INFO mapred.JobClient:  map 10% reduce 0%
14/06/13 05:43:18 INFO mapred.JobClient:  map 11% reduce 0%
14/06/13 05:44:33 INFO mapred.JobClient:  map 12% reduce 0%
14/06/13 05:45:47 INFO mapred.JobClient:  map 13% reduce 0%
14/06/13 05:46:41 INFO mapred.JobClient:  map 14% reduce 0%
14/06/13 05:47:48 INFO mapred.JobClient:  map 15% reduce 0%
14/06/13 05:48:39 INFO mapred.JobClient:  map 16% reduce 0%
14/06/13 05:49:38 INFO mapred.JobClient:  map 17% reduce 0%
14/06/13 05:50:45 INFO mapred.JobClient:  map 18% reduce 0%
14/06/13 05:51:45 INFO mapred.JobClient:  map 19% reduce 0%
14/06/13 05:52:47 INFO mapred.JobClient:  map 20% reduce 0%
14/06/13 05:53:50 INFO mapred.JobClient:  map 21% reduce 0%
14/06/13 05:54:59 INFO mapred.JobClient:  map 22% reduce 0%
14/06/13 05:56:11 INFO mapred.JobClient:  map 23% reduce 0%
14/06/13 05:57:10 INFO mapred.JobClient:  map 24% reduce 0%
14/06/13 05:58:13 INFO mapred.JobClient:  map 25% reduce 0%
14/06/13 05:59:20 INFO mapred.JobClient:  map 26% reduce 0%
14/06/13 06:00:17 INFO mapred.JobClient:  map 27% reduce 0%
14/06/13 06:01:19 INFO mapred.JobClient:  map 28% reduce 0%
14/06/13 06:02:27 INFO mapred.JobClient:  map 29% reduce 0%
14/06/13 06:03:33 INFO mapred.JobClient:  map 30% reduce 0%
14/06/13 06:04:46 INFO mapred.JobClient:  map 31% reduce 0%
14/06/13 06:06:03 INFO mapred.JobClient:  map 32% reduce 0%
14/06/13 06:07:16 INFO mapred.JobClient:  map 33% reduce 0%
14/06/13 06:08:22 INFO mapred.JobClient:  map 34% reduce 0%
14/06/13 06:09:30 INFO mapred.JobClient:  map 35% reduce 0%
14/06/13 06:10:33 INFO mapred.JobClient:  map 36% reduce 0%
14/06/13 06:11:43 INFO mapred.JobClient:  map 37% reduce 0%
14/06/13 06:12:47 INFO mapred.JobClient:  map 38% reduce 0%
14/06/13 06:13:57 INFO mapred.JobClient:  map 39% reduce 0%
14/06/13 06:15:00 INFO mapred.JobClient:  map 40% reduce 0%
14/06/13 06:16:11 INFO mapred.JobClient:  map 41% reduce 0%
14/06/13 06:17:16 INFO mapred.JobClient:  map 42% reduce 0%
14/06/13 06:18:15 INFO mapred.JobClient:  map 43% reduce 0%
14/06/13 06:19:06 INFO mapred.JobClient:  map 44% reduce 0%
14/06/13 06:20:10 INFO mapred.JobClient:  map 45% reduce 0%
14/06/13 06:21:08 INFO mapred.JobClient:  map 46% reduce 0%
14/06/13 06:22:15 INFO mapred.JobClient:  map 47% reduce 0%
14/06/13 06:23:14 INFO mapred.JobClient:  map 48% reduce 0%
14/06/13 06:24:23 INFO mapred.JobClient:  map 49% reduce 0%
14/06/13 06:25:24 INFO mapred.JobClient:  map 50% reduce 0%
14/06/13 06:26:33 INFO mapred.JobClient:  map 51% reduce 0%
14/06/13 06:27:38 INFO mapred.JobClient:  map 52% reduce 0%
14/06/13 06:28:47 INFO mapred.JobClient:  map 53% reduce 0%
14/06/13 06:29:55 INFO mapred.JobClient:  map 54% reduce 0%
14/06/13 06:31:01 INFO mapred.JobClient:  map 55% reduce 0%
14/06/13 06:31:56 INFO mapred.JobClient:  map 56% reduce 0%
14/06/13 06:33:04 INFO mapred.JobClient:  map 57% reduce 0%
14/06/13 06:33:57 INFO mapred.JobClient:  map 58% reduce 0%
14/06/13 06:35:03 INFO mapred.JobClient:  map 59% reduce 0%
14/06/13 06:36:09 INFO mapred.JobClient:  map 60% reduce 0%
14/06/13 06:37:17 INFO mapred.JobClient:  map 61% reduce 0%
14/06/13 06:38:20 INFO mapred.JobClient:  map 62% reduce 0%
14/06/13 06:39:23 INFO mapred.JobClient:  map 63% reduce 0%
14/06/13 06:40:30 INFO mapred.JobClient:  map 64% reduce 0%
14/06/13 06:41:27 INFO mapred.JobClient:  map 65% reduce 0%
14/06/13 06:42:30 INFO mapred.JobClient:  map 66% reduce 0%
14/06/13 06:43:30 INFO mapred.JobClient:  map 67% reduce 0%
14/06/13 06:44:36 INFO mapred.JobClient:  map 68% reduce 0%
14/06/13 06:45:42 INFO mapred.JobClient:  map 69% reduce 0%
14/06/13 06:46:45 INFO mapred.JobClient:  map 70% reduce 0%
14/06/13 06:47:54 INFO mapred.JobClient:  map 71% reduce 0%
14/06/13 06:49:04 INFO mapred.JobClient:  map 72% reduce 0%
14/06/13 06:50:16 INFO mapred.JobClient:  map 73% reduce 0%
14/06/13 06:51:11 INFO mapred.JobClient:  map 74% reduce 0%
14/06/13 06:52:19 INFO mapred.JobClient:  map 75% reduce 0%
14/06/13 06:53:26 INFO mapred.JobClient:  map 76% reduce 0%
14/06/13 06:54:20 INFO mapred.JobClient:  map 77% reduce 0%
14/06/13 06:55:29 INFO mapred.JobClient:  map 78% reduce 0%
14/06/13 06:56:29 INFO mapred.JobClient:  map 79% reduce 0%
14/06/13 06:57:29 INFO mapred.JobClient:  map 80% reduce 0%
14/06/13 06:58:35 INFO mapred.JobClient:  map 81% reduce 0%
14/06/13 06:59:45 INFO mapred.JobClient:  map 82% reduce 0%
14/06/13 07:00:53 INFO mapred.JobClient:  map 83% reduce 0%
14/06/13 07:02:06 INFO mapred.JobClient:  map 84% reduce 0%
14/06/13 07:03:35 INFO mapred.JobClient:  map 85% reduce 0%
