14/06/12 22:23:24 INFO terasort.TeraSort: starting
14/06/12 22:23:25 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/12 22:23:25 WARN snappy.LoadSnappy: Snappy native library is available
14/06/12 22:23:25 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/12 22:23:25 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/12 22:23:29 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/12 22:23:29 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/12 22:23:31 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/12 22:23:35 INFO mapred.JobClient: Running job: job_201406122141_0002
14/06/12 22:23:36 INFO mapred.JobClient:  map 0% reduce 0%
14/06/12 22:23:54 INFO mapred.JobClient:  map 1% reduce 0%
14/06/12 22:23:55 INFO mapred.JobClient:  map 2% reduce 0%
14/06/12 22:23:57 INFO mapred.JobClient:  map 3% reduce 0%
14/06/12 22:24:00 INFO mapred.JobClient:  map 4% reduce 0%
14/06/12 22:24:08 INFO mapred.JobClient:  map 5% reduce 0%
14/06/12 22:24:15 INFO mapred.JobClient:  map 6% reduce 0%
14/06/12 22:24:20 INFO mapred.JobClient:  map 7% reduce 0%
14/06/12 22:24:26 INFO mapred.JobClient:  map 8% reduce 0%
14/06/12 22:24:33 INFO mapred.JobClient:  map 9% reduce 0%
14/06/12 22:24:38 INFO mapred.JobClient:  map 10% reduce 0%
14/06/12 22:24:44 INFO mapred.JobClient:  map 11% reduce 0%
14/06/12 22:24:53 INFO mapred.JobClient:  map 12% reduce 0%
14/06/12 22:24:56 INFO mapred.JobClient:  map 12% reduce 1%
14/06/12 22:24:58 INFO mapred.JobClient:  map 13% reduce 1%
14/06/12 22:25:04 INFO mapred.JobClient:  map 14% reduce 1%
14/06/12 22:25:12 INFO mapred.JobClient:  map 15% reduce 1%
14/06/12 22:25:22 INFO mapred.JobClient:  map 16% reduce 1%
14/06/12 22:25:27 INFO mapred.JobClient:  map 17% reduce 1%
14/06/12 22:25:35 INFO mapred.JobClient:  map 18% reduce 1%
14/06/12 22:25:37 INFO mapred.JobClient:  map 18% reduce 2%
14/06/12 22:25:41 INFO mapred.JobClient:  map 19% reduce 2%
14/06/12 22:25:47 INFO mapred.JobClient:  map 20% reduce 2%
14/06/12 22:25:53 INFO mapred.JobClient:  map 21% reduce 2%
14/06/12 22:26:00 INFO mapred.JobClient:  map 22% reduce 2%
14/06/12 22:26:05 INFO mapred.JobClient:  map 23% reduce 2%
14/06/12 22:26:09 INFO mapred.JobClient:  map 24% reduce 2%
14/06/12 22:26:17 INFO mapred.JobClient:  map 25% reduce 2%
14/06/12 22:26:23 INFO mapred.JobClient:  map 25% reduce 3%
14/06/12 22:26:24 INFO mapred.JobClient:  map 26% reduce 3%
14/06/12 22:26:28 INFO mapred.JobClient:  map 27% reduce 3%
14/06/12 22:26:34 INFO mapred.JobClient:  map 28% reduce 3%
14/06/12 22:26:42 INFO mapred.JobClient:  map 29% reduce 3%
14/06/12 22:26:47 INFO mapred.JobClient:  map 30% reduce 3%
14/06/12 22:26:52 INFO mapred.JobClient:  map 31% reduce 3%
14/06/12 22:27:00 INFO mapred.JobClient:  map 32% reduce 3%
14/06/12 22:27:06 INFO mapred.JobClient:  map 33% reduce 3%
14/06/12 22:27:09 INFO mapred.JobClient:  map 33% reduce 4%
14/06/12 22:27:12 INFO mapred.JobClient:  map 34% reduce 4%
14/06/12 22:27:16 INFO mapred.JobClient:  map 35% reduce 4%
14/06/12 22:27:23 INFO mapred.JobClient:  map 36% reduce 4%
14/06/12 22:27:29 INFO mapred.JobClient:  map 37% reduce 4%
14/06/12 22:27:35 INFO mapred.JobClient:  map 38% reduce 4%
14/06/12 22:27:42 INFO mapred.JobClient:  map 39% reduce 4%
14/06/12 22:27:48 INFO mapred.JobClient:  map 40% reduce 4%
14/06/12 22:27:51 INFO mapred.JobClient:  map 41% reduce 4%
14/06/12 22:27:53 INFO mapred.JobClient:  map 41% reduce 5%
14/06/12 22:27:58 INFO mapred.JobClient:  map 42% reduce 5%
14/06/12 22:28:04 INFO mapred.JobClient:  map 43% reduce 5%
14/06/12 22:28:08 INFO mapred.JobClient:  map 44% reduce 5%
14/06/12 22:28:16 INFO mapred.JobClient:  map 45% reduce 5%
14/06/12 22:28:19 INFO mapred.JobClient:  map 46% reduce 5%
14/06/12 22:28:25 INFO mapred.JobClient:  map 47% reduce 5%
14/06/12 22:28:32 INFO mapred.JobClient:  map 47% reduce 6%
14/06/12 22:28:35 INFO mapred.JobClient:  map 48% reduce 6%
14/06/12 22:28:38 INFO mapred.JobClient:  map 49% reduce 6%
14/06/12 22:28:42 INFO mapred.JobClient:  map 50% reduce 6%
14/06/12 22:28:50 INFO mapred.JobClient:  map 51% reduce 6%
14/06/12 22:28:56 INFO mapred.JobClient:  map 52% reduce 6%
14/06/12 22:29:00 INFO mapred.JobClient:  map 53% reduce 6%
14/06/12 22:29:06 INFO mapred.JobClient:  map 54% reduce 6%
14/06/12 22:29:12 INFO mapred.JobClient:  map 55% reduce 6%
14/06/12 22:29:17 INFO mapred.JobClient:  map 55% reduce 7%
14/06/12 22:29:19 INFO mapred.JobClient:  map 56% reduce 7%
14/06/12 22:29:25 INFO mapred.JobClient:  map 57% reduce 7%
14/06/12 22:29:31 INFO mapred.JobClient:  map 58% reduce 7%
14/06/12 22:29:37 INFO mapred.JobClient:  map 59% reduce 7%
14/06/12 22:29:43 INFO mapred.JobClient:  map 60% reduce 7%
14/06/12 22:29:47 INFO mapred.JobClient:  map 61% reduce 7%
14/06/12 22:29:53 INFO mapred.JobClient:  map 62% reduce 7%
14/06/12 22:29:58 INFO mapred.JobClient:  map 63% reduce 8%
14/06/12 22:30:03 INFO mapred.JobClient:  map 64% reduce 8%
14/06/12 22:30:09 INFO mapred.JobClient:  map 65% reduce 8%
14/06/12 22:30:16 INFO mapred.JobClient:  map 66% reduce 8%
14/06/12 22:30:21 INFO mapred.JobClient:  map 67% reduce 8%
14/06/12 22:30:27 INFO mapred.JobClient:  map 68% reduce 8%
14/06/12 22:30:34 INFO mapred.JobClient:  map 69% reduce 8%
14/06/12 22:30:40 INFO mapred.JobClient:  map 70% reduce 8%
14/06/12 22:30:43 INFO mapred.JobClient:  map 70% reduce 9%
14/06/12 22:30:45 INFO mapred.JobClient:  map 71% reduce 9%
14/06/12 22:30:49 INFO mapred.JobClient:  map 72% reduce 9%
14/06/12 22:30:54 INFO mapred.JobClient:  map 73% reduce 9%
14/06/12 22:31:03 INFO mapred.JobClient:  map 74% reduce 9%
14/06/12 22:31:07 INFO mapred.JobClient:  map 75% reduce 9%
14/06/12 22:31:13 INFO mapred.JobClient:  map 76% reduce 9%
14/06/12 22:31:20 INFO mapred.JobClient:  map 77% reduce 9%
14/06/12 22:31:25 INFO mapred.JobClient:  map 78% reduce 9%
14/06/12 22:31:28 INFO mapred.JobClient:  map 78% reduce 10%
14/06/12 22:31:33 INFO mapred.JobClient:  map 79% reduce 10%
14/06/12 22:31:38 INFO mapred.JobClient:  map 80% reduce 10%
14/06/12 22:31:43 INFO mapred.JobClient:  map 81% reduce 10%
14/06/12 22:31:49 INFO mapred.JobClient:  map 82% reduce 10%
14/06/12 22:31:53 INFO mapred.JobClient:  map 83% reduce 10%
14/06/12 22:32:00 INFO mapred.JobClient:  map 84% reduce 10%
14/06/12 22:32:06 INFO mapred.JobClient:  map 85% reduce 10%
14/06/12 22:32:09 INFO mapred.JobClient:  map 85% reduce 11%
14/06/12 22:32:11 INFO mapred.JobClient:  map 86% reduce 11%
14/06/12 22:32:15 INFO mapred.JobClient:  map 87% reduce 11%
14/06/12 22:32:20 INFO mapred.JobClient:  map 88% reduce 11%
14/06/12 22:32:24 INFO mapred.JobClient:  map 89% reduce 11%
14/06/12 22:32:27 INFO mapred.JobClient:  map 90% reduce 11%
14/06/12 22:32:31 INFO mapred.JobClient:  map 91% reduce 11%
14/06/12 22:32:35 INFO mapred.JobClient:  map 92% reduce 11%
14/06/12 22:32:40 INFO mapred.JobClient:  map 93% reduce 11%
14/06/12 22:32:41 INFO mapred.JobClient:  map 93% reduce 12%
14/06/12 22:32:43 INFO mapred.JobClient:  map 94% reduce 12%
14/06/12 22:32:47 INFO mapred.JobClient:  map 95% reduce 12%
14/06/12 22:32:51 INFO mapred.JobClient:  map 96% reduce 12%
14/06/12 22:32:53 INFO mapred.JobClient:  map 97% reduce 12%
14/06/12 22:32:56 INFO mapred.JobClient:  map 98% reduce 12%
14/06/12 22:33:01 INFO mapred.JobClient:  map 99% reduce 12%
14/06/12 22:33:05 INFO mapred.JobClient:  map 99% reduce 13%
14/06/12 22:33:20 INFO mapred.JobClient:  map 100% reduce 13%
14/06/12 22:33:26 INFO mapred.JobClient:  map 100% reduce 14%
14/06/12 22:33:27 INFO mapred.JobClient:  map 100% reduce 15%
14/06/12 22:33:28 INFO mapred.JobClient:  map 100% reduce 18%
14/06/12 22:33:29 INFO mapred.JobClient:  map 100% reduce 20%
14/06/12 22:33:30 INFO mapred.JobClient:  map 100% reduce 22%
14/06/12 22:33:32 INFO mapred.JobClient:  map 100% reduce 23%
14/06/12 22:33:34 INFO mapred.JobClient:  map 100% reduce 24%
14/06/12 22:33:35 INFO mapred.JobClient:  map 100% reduce 25%
14/06/12 22:33:43 INFO mapred.JobClient:  map 100% reduce 26%
14/06/12 22:33:46 INFO mapred.JobClient:  map 100% reduce 27%
14/06/12 22:33:48 INFO mapred.JobClient:  map 100% reduce 28%
14/06/12 22:33:53 INFO mapred.JobClient:  map 100% reduce 29%
14/06/12 22:34:00 INFO mapred.JobClient:  map 100% reduce 30%
14/06/12 22:34:03 INFO mapred.JobClient:  map 100% reduce 31%
14/06/12 22:34:07 INFO mapred.JobClient:  map 100% reduce 32%
14/06/12 22:34:15 INFO mapred.JobClient:  map 100% reduce 33%
14/06/12 22:34:21 INFO mapred.JobClient:  map 100% reduce 34%
14/06/12 22:34:32 INFO mapred.JobClient:  map 100% reduce 35%
14/06/12 22:34:45 INFO mapred.JobClient:  map 100% reduce 36%
14/06/12 22:34:58 INFO mapred.JobClient:  map 100% reduce 37%
14/06/12 22:35:12 INFO mapred.JobClient:  map 100% reduce 38%
14/06/12 22:35:30 INFO mapred.JobClient:  map 100% reduce 39%
14/06/12 22:35:50 INFO mapred.JobClient:  map 100% reduce 40%
14/06/12 22:36:11 INFO mapred.JobClient:  map 100% reduce 41%
14/06/12 22:36:30 INFO mapred.JobClient:  map 100% reduce 42%
14/06/12 22:36:49 INFO mapred.JobClient:  map 100% reduce 43%
14/06/12 22:37:07 INFO mapred.JobClient:  map 100% reduce 44%
14/06/12 22:37:25 INFO mapred.JobClient:  map 100% reduce 45%
14/06/12 22:37:42 INFO mapred.JobClient:  map 100% reduce 46%
14/06/12 22:37:57 INFO mapred.JobClient:  map 100% reduce 47%
14/06/12 22:38:13 INFO mapred.JobClient:  map 100% reduce 48%
14/06/12 22:38:29 INFO mapred.JobClient:  map 100% reduce 49%
14/06/12 22:38:34 INFO mapred.JobClient:  map 100% reduce 51%
14/06/12 22:38:35 INFO mapred.JobClient:  map 100% reduce 52%
14/06/12 22:38:37 INFO mapred.JobClient:  map 100% reduce 53%
14/06/12 22:38:44 INFO mapred.JobClient:  map 100% reduce 54%
14/06/12 22:38:47 INFO mapred.JobClient:  map 100% reduce 55%
14/06/12 22:38:53 INFO mapred.JobClient:  map 100% reduce 56%
14/06/12 22:38:59 INFO mapred.JobClient:  map 100% reduce 57%
14/06/12 22:39:07 INFO mapred.JobClient:  map 100% reduce 58%
14/06/12 22:39:18 INFO mapred.JobClient:  map 100% reduce 59%
14/06/12 22:39:22 INFO mapred.JobClient:  map 100% reduce 60%
14/06/12 22:39:34 INFO mapred.JobClient:  map 100% reduce 61%
14/06/12 22:39:48 INFO mapred.JobClient:  map 100% reduce 62%
14/06/12 22:39:52 INFO mapred.JobClient:  map 100% reduce 63%
14/06/12 22:40:01 INFO mapred.JobClient:  map 100% reduce 64%
14/06/12 22:40:16 INFO mapred.JobClient:  map 100% reduce 65%
14/06/12 22:40:33 INFO mapred.JobClient:  map 100% reduce 66%
14/06/12 22:40:49 INFO mapred.JobClient:  map 100% reduce 67%
14/06/12 22:41:07 INFO mapred.JobClient:  map 100% reduce 68%
14/06/12 22:41:23 INFO mapred.JobClient:  map 100% reduce 69%
14/06/12 22:41:39 INFO mapred.JobClient:  map 100% reduce 70%
14/06/12 22:41:48 INFO mapred.JobClient:  map 100% reduce 71%
14/06/12 22:41:53 INFO mapred.JobClient:  map 100% reduce 72%
14/06/12 22:41:56 INFO mapred.JobClient:  map 100% reduce 73%
14/06/12 22:41:57 INFO mapred.JobClient:  map 100% reduce 74%
14/06/12 22:42:00 INFO mapred.JobClient:  map 100% reduce 75%
14/06/12 22:42:05 INFO mapred.JobClient:  map 100% reduce 76%
14/06/12 22:42:16 INFO mapred.JobClient:  map 100% reduce 77%
14/06/12 22:42:27 INFO mapred.JobClient:  map 100% reduce 78%
14/06/12 22:42:37 INFO mapred.JobClient:  map 100% reduce 79%
14/06/12 22:42:52 INFO mapred.JobClient:  map 100% reduce 80%
14/06/12 22:42:59 INFO mapred.JobClient:  map 100% reduce 81%
14/06/12 22:43:05 INFO mapred.JobClient:  map 100% reduce 82%
14/06/12 22:43:10 INFO mapred.JobClient:  map 100% reduce 83%
14/06/12 22:43:11 INFO mapred.JobClient:  map 100% reduce 84%
14/06/12 22:43:13 INFO mapred.JobClient:  map 100% reduce 85%
14/06/12 22:43:22 INFO mapred.JobClient:  map 100% reduce 86%
14/06/12 22:43:26 INFO mapred.JobClient:  map 100% reduce 87%
14/06/12 22:43:32 INFO mapred.JobClient:  map 100% reduce 88%
14/06/12 22:43:46 INFO mapred.JobClient:  map 100% reduce 89%
14/06/12 22:43:52 INFO mapred.JobClient:  map 100% reduce 90%
14/06/12 22:43:58 INFO mapred.JobClient:  map 100% reduce 91%
14/06/12 22:44:04 INFO mapred.JobClient:  map 100% reduce 92%
14/06/12 22:44:14 INFO mapred.JobClient:  map 100% reduce 93%
14/06/12 22:44:24 INFO mapred.JobClient:  map 100% reduce 94%
14/06/12 22:44:35 INFO mapred.JobClient:  map 100% reduce 95%
14/06/12 22:44:44 INFO mapred.JobClient:  map 100% reduce 96%
14/06/12 22:44:56 INFO mapred.JobClient:  map 100% reduce 97%
14/06/12 22:45:05 INFO mapred.JobClient:  map 100% reduce 98%
14/06/12 22:45:30 INFO mapred.JobClient:  map 100% reduce 99%
14/06/12 22:47:14 INFO mapred.JobClient:  map 100% reduce 100%
14/06/12 22:47:17 INFO mapred.JobClient: Job complete: job_201406122141_0002
14/06/12 22:47:17 INFO mapred.JobClient: Counters: 31
14/06/12 22:47:17 INFO mapred.JobClient:   Job Counters 
14/06/12 22:47:17 INFO mapred.JobClient:     Launched reduce tasks=107
14/06/12 22:47:17 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=21970844
14/06/12 22:47:17 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/12 22:47:17 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/12 22:47:17 INFO mapred.JobClient:     Rack-local map tasks=19
14/06/12 22:47:17 INFO mapred.JobClient:     Launched map tasks=821
14/06/12 22:47:17 INFO mapred.JobClient:     Data-local map tasks=802
14/06/12 22:47:17 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=48960558
14/06/12 22:47:17 INFO mapred.JobClient:   File Input Format Counters 
14/06/12 22:47:17 INFO mapred.JobClient:     Bytes Read=100091750400
14/06/12 22:47:17 INFO mapred.JobClient:   File Output Format Counters 
14/06/12 22:47:17 INFO mapred.JobClient:     Bytes Written=100000000000
14/06/12 22:47:17 INFO mapred.JobClient:   FileSystemCounters
14/06/12 22:47:17 INFO mapred.JobClient:     FILE_BYTES_READ=243089161640
14/06/12 22:47:17 INFO mapred.JobClient:     HDFS_BYTES_READ=100091847200
14/06/12 22:47:17 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=306982069265
14/06/12 22:47:17 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=100000000000
14/06/12 22:47:17 INFO mapred.JobClient:   Map-Reduce Framework
14/06/12 22:47:17 INFO mapred.JobClient:     Map output materialized bytes=102000480000
14/06/12 22:47:17 INFO mapred.JobClient:     Map input records=1000000000
14/06/12 22:47:17 INFO mapred.JobClient:     Reduce shuffle bytes=102000480000
14/06/12 22:47:17 INFO mapred.JobClient:     Spilled Records=3009069731
14/06/12 22:47:17 INFO mapred.JobClient:     Map output bytes=100000000000
14/06/12 22:47:17 INFO mapred.JobClient:     Total committed heap usage (bytes)=132138467328
14/06/12 22:47:17 INFO mapred.JobClient:     CPU time spent (ms)=10651270
14/06/12 22:47:17 INFO mapred.JobClient:     Map input bytes=100000000000
14/06/12 22:47:17 INFO mapred.JobClient:     SPLIT_RAW_BYTES=96800
14/06/12 22:47:17 INFO mapred.JobClient:     Combine input records=0
14/06/12 22:47:17 INFO mapred.JobClient:     Reduce input records=1000000000
14/06/12 22:47:17 INFO mapred.JobClient:     Reduce input groups=1000000000
14/06/12 22:47:17 INFO mapred.JobClient:     Combine output records=0
14/06/12 22:47:17 INFO mapred.JobClient:     Physical memory (bytes) snapshot=180774043648
14/06/12 22:47:17 INFO mapred.JobClient:     Reduce output records=1000000000
14/06/12 22:47:17 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=661440450560
14/06/12 22:47:17 INFO mapred.JobClient:     Map output records=1000000000
14/06/12 22:47:17 INFO terasort.TeraSort: done

real	23m54.381s
user	0m6.080s
sys	0m0.754s
