14/06/13 00:06:27 INFO terasort.TeraSort: starting
14/06/13 00:06:28 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/13 00:06:28 WARN snappy.LoadSnappy: Snappy native library is available
14/06/13 00:06:28 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/13 00:06:28 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/13 00:06:33 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/13 00:06:33 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/13 00:06:34 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/13 00:06:38 INFO mapred.JobClient: Running job: job_201406122141_0004
14/06/13 00:06:39 INFO mapred.JobClient:  map 0% reduce 0%
14/06/13 00:06:56 INFO mapred.JobClient:  map 4% reduce 0%
14/06/13 00:06:57 INFO mapred.JobClient:  map 5% reduce 0%
14/06/13 00:06:58 INFO mapred.JobClient:  map 6% reduce 0%
14/06/13 00:06:59 INFO mapred.JobClient:  map 7% reduce 0%
14/06/13 00:07:00 INFO mapred.JobClient:  map 8% reduce 0%
14/06/13 00:07:04 INFO mapred.JobClient:  map 9% reduce 0%
14/06/13 00:07:11 INFO mapred.JobClient:  map 10% reduce 0%
14/06/13 00:07:12 INFO mapred.JobClient:  map 11% reduce 0%
14/06/13 00:07:15 INFO mapred.JobClient:  map 12% reduce 0%
14/06/13 00:07:20 INFO mapred.JobClient:  map 13% reduce 0%
14/06/13 00:07:23 INFO mapred.JobClient:  map 14% reduce 0%
14/06/13 00:07:26 INFO mapred.JobClient:  map 15% reduce 0%
14/06/13 00:07:30 INFO mapred.JobClient:  map 16% reduce 0%
14/06/13 00:07:33 INFO mapred.JobClient:  map 17% reduce 0%
14/06/13 00:07:35 INFO mapred.JobClient:  map 18% reduce 0%
14/06/13 00:07:36 INFO mapred.JobClient:  map 18% reduce 1%
14/06/13 00:07:38 INFO mapred.JobClient:  map 19% reduce 1%
14/06/13 00:07:43 INFO mapred.JobClient:  map 20% reduce 1%
14/06/13 00:07:47 INFO mapred.JobClient:  map 21% reduce 1%
14/06/13 00:07:49 INFO mapred.JobClient:  map 21% reduce 2%
14/06/13 00:07:51 INFO mapred.JobClient:  map 22% reduce 2%
14/06/13 00:07:54 INFO mapred.JobClient:  map 23% reduce 2%
14/06/13 00:07:57 INFO mapred.JobClient:  map 24% reduce 2%
14/06/13 00:07:59 INFO mapred.JobClient:  map 25% reduce 2%
14/06/13 00:08:02 INFO mapred.JobClient:  map 26% reduce 2%
14/06/13 00:08:05 INFO mapred.JobClient:  map 27% reduce 2%
14/06/13 00:08:08 INFO mapred.JobClient:  map 28% reduce 2%
14/06/13 00:08:12 INFO mapred.JobClient:  map 29% reduce 2%
14/06/13 00:08:13 INFO mapred.JobClient:  map 29% reduce 3%
14/06/13 00:08:14 INFO mapred.JobClient:  map 30% reduce 3%
14/06/13 00:08:16 INFO mapred.JobClient:  map 31% reduce 3%
14/06/13 00:08:18 INFO mapred.JobClient:  map 32% reduce 3%
14/06/13 00:08:24 INFO mapred.JobClient:  map 33% reduce 3%
14/06/13 00:08:26 INFO mapred.JobClient:  map 34% reduce 3%
14/06/13 00:08:30 INFO mapred.JobClient:  map 35% reduce 3%
14/06/13 00:08:32 INFO mapred.JobClient:  map 36% reduce 3%
14/06/13 00:08:35 INFO mapred.JobClient:  map 37% reduce 3%
14/06/13 00:08:36 INFO mapred.JobClient:  map 37% reduce 4%
14/06/13 00:08:37 INFO mapred.JobClient:  map 38% reduce 4%
14/06/13 00:08:40 INFO mapred.JobClient:  map 39% reduce 4%
14/06/13 00:08:45 INFO mapred.JobClient:  map 40% reduce 4%
14/06/13 00:08:49 INFO mapred.JobClient:  map 41% reduce 4%
14/06/13 00:08:53 INFO mapred.JobClient:  map 42% reduce 4%
14/06/13 00:08:55 INFO mapred.JobClient:  map 43% reduce 4%
14/06/13 00:08:58 INFO mapred.JobClient:  map 44% reduce 5%
14/06/13 00:09:01 INFO mapred.JobClient:  map 45% reduce 5%
14/06/13 00:09:05 INFO mapred.JobClient:  map 46% reduce 5%
14/06/13 00:09:09 INFO mapred.JobClient:  map 47% reduce 5%
14/06/13 00:09:11 INFO mapred.JobClient:  map 48% reduce 5%
14/06/13 00:09:14 INFO mapred.JobClient:  map 49% reduce 5%
14/06/13 00:09:16 INFO mapred.JobClient:  map 50% reduce 5%
14/06/13 00:09:20 INFO mapred.JobClient:  map 51% reduce 5%
14/06/13 00:09:23 INFO mapred.JobClient:  map 52% reduce 5%
14/06/13 00:09:25 INFO mapred.JobClient:  map 52% reduce 6%
14/06/13 00:09:26 INFO mapred.JobClient:  map 53% reduce 6%
14/06/13 00:09:29 INFO mapred.JobClient:  map 54% reduce 6%
14/06/13 00:09:33 INFO mapred.JobClient:  map 55% reduce 6%
14/06/13 00:09:36 INFO mapred.JobClient:  map 56% reduce 6%
14/06/13 00:09:38 INFO mapred.JobClient:  map 57% reduce 6%
14/06/13 00:09:41 INFO mapred.JobClient:  map 58% reduce 6%
14/06/13 00:09:44 INFO mapred.JobClient:  map 59% reduce 7%
14/06/13 00:09:48 INFO mapred.JobClient:  map 60% reduce 7%
14/06/13 00:09:52 INFO mapred.JobClient:  map 61% reduce 7%
14/06/13 00:09:55 INFO mapred.JobClient:  map 62% reduce 7%
14/06/13 00:09:58 INFO mapred.JobClient:  map 63% reduce 7%
14/06/13 00:10:00 INFO mapred.JobClient:  map 64% reduce 7%
14/06/13 00:10:03 INFO mapred.JobClient:  map 65% reduce 7%
14/06/13 00:10:06 INFO mapred.JobClient:  map 66% reduce 7%
14/06/13 00:10:08 INFO mapred.JobClient:  map 67% reduce 8%
14/06/13 00:10:11 INFO mapred.JobClient:  map 68% reduce 8%
14/06/13 00:10:14 INFO mapred.JobClient:  map 69% reduce 8%
14/06/13 00:10:16 INFO mapred.JobClient:  map 70% reduce 8%
14/06/13 00:10:21 INFO mapred.JobClient:  map 71% reduce 8%
14/06/13 00:10:23 INFO mapred.JobClient:  map 72% reduce 8%
14/06/13 00:10:25 INFO mapred.JobClient:  map 73% reduce 8%
14/06/13 00:10:27 INFO mapred.JobClient:  map 74% reduce 8%
14/06/13 00:10:29 INFO mapred.JobClient:  map 75% reduce 9%
14/06/13 00:10:32 INFO mapred.JobClient:  map 76% reduce 9%
14/06/13 00:10:35 INFO mapred.JobClient:  map 77% reduce 9%
14/06/13 00:10:38 INFO mapred.JobClient:  map 78% reduce 9%
14/06/13 00:10:41 INFO mapred.JobClient:  map 79% reduce 9%
14/06/13 00:10:44 INFO mapred.JobClient:  map 80% reduce 9%
14/06/13 00:10:48 INFO mapred.JobClient:  map 81% reduce 10%
14/06/13 00:10:51 INFO mapred.JobClient:  map 82% reduce 10%
14/06/13 00:10:53 INFO mapred.JobClient:  map 83% reduce 10%
14/06/13 00:10:54 INFO mapred.JobClient:  map 84% reduce 10%
14/06/13 00:10:56 INFO mapred.JobClient:  map 85% reduce 10%
14/06/13 00:10:59 INFO mapred.JobClient:  map 86% reduce 10%
14/06/13 00:11:01 INFO mapred.JobClient:  map 87% reduce 10%
14/06/13 00:11:03 INFO mapred.JobClient:  map 88% reduce 10%
14/06/13 00:11:06 INFO mapred.JobClient:  map 89% reduce 10%
14/06/13 00:11:07 INFO mapred.JobClient:  map 89% reduce 11%
14/06/13 00:11:08 INFO mapred.JobClient:  map 90% reduce 11%
14/06/13 00:11:10 INFO mapred.JobClient:  map 91% reduce 11%
14/06/13 00:11:13 INFO mapred.JobClient:  map 92% reduce 11%
14/06/13 00:11:15 INFO mapred.JobClient:  map 93% reduce 11%
14/06/13 00:11:18 INFO mapred.JobClient:  map 94% reduce 11%
14/06/13 00:11:21 INFO mapred.JobClient:  map 95% reduce 11%
14/06/13 00:11:23 INFO mapred.JobClient:  map 96% reduce 12%
14/06/13 00:11:25 INFO mapred.JobClient:  map 97% reduce 12%
