14/06/16 17:31:13 INFO terasort.TeraSort: starting
14/06/16 17:31:14 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/16 17:31:14 WARN snappy.LoadSnappy: Snappy native library is available
14/06/16 17:31:14 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/16 17:31:14 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/16 17:31:20 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/16 17:31:20 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/16 17:31:22 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/16 17:31:26 INFO mapred.JobClient: Running job: job_201406131535_0046
14/06/16 17:31:27 INFO mapred.JobClient:  map 0% reduce 0%
14/06/16 17:31:48 INFO mapred.JobClient:  map 1% reduce 0%
14/06/16 17:32:10 INFO mapred.JobClient:  map 2% reduce 0%
14/06/16 17:32:27 INFO mapred.JobClient:  map 3% reduce 0%
14/06/16 17:32:41 INFO mapred.JobClient:  map 4% reduce 0%
14/06/16 17:32:57 INFO mapred.JobClient:  map 5% reduce 0%
14/06/16 17:33:15 INFO mapred.JobClient:  map 6% reduce 0%
14/06/16 17:33:39 INFO mapred.JobClient:  map 7% reduce 0%
14/06/16 17:34:07 INFO mapred.JobClient:  map 8% reduce 0%
14/06/16 17:34:49 INFO mapred.JobClient:  map 9% reduce 0%
14/06/16 17:34:55 INFO mapred.JobClient:  map 9% reduce 1%
14/06/16 17:35:16 INFO mapred.JobClient:  map 10% reduce 1%
14/06/16 17:35:37 INFO mapred.JobClient:  map 11% reduce 1%
14/06/16 17:36:03 INFO mapred.JobClient:  map 12% reduce 1%
14/06/16 17:36:26 INFO mapred.JobClient:  map 13% reduce 1%
14/06/16 17:36:47 INFO mapred.JobClient:  map 14% reduce 1%
14/06/16 17:37:10 INFO mapred.JobClient:  map 15% reduce 1%
14/06/16 17:37:30 INFO mapred.JobClient:  map 15% reduce 2%
14/06/16 17:37:33 INFO mapred.JobClient:  map 16% reduce 2%
14/06/16 17:37:55 INFO mapred.JobClient:  map 17% reduce 2%
14/06/16 17:38:17 INFO mapred.JobClient:  map 18% reduce 2%
14/06/16 17:38:41 INFO mapred.JobClient:  map 19% reduce 2%
14/06/16 17:39:04 INFO mapred.JobClient:  map 20% reduce 2%
14/06/16 17:39:25 INFO mapred.JobClient:  map 21% reduce 2%
14/06/16 17:39:46 INFO mapred.JobClient:  map 22% reduce 2%
14/06/16 17:40:09 INFO mapred.JobClient:  map 23% reduce 2%
14/06/16 17:40:16 INFO mapred.JobClient:  map 23% reduce 3%
14/06/16 17:40:31 INFO mapred.JobClient:  map 24% reduce 3%
14/06/16 17:40:52 INFO mapred.JobClient:  map 25% reduce 3%
14/06/16 17:41:15 INFO mapred.JobClient:  map 26% reduce 3%
14/06/16 17:41:34 INFO mapred.JobClient:  map 27% reduce 3%
14/06/16 17:41:57 INFO mapred.JobClient:  map 28% reduce 3%
14/06/16 17:42:19 INFO mapred.JobClient:  map 29% reduce 3%
14/06/16 17:42:40 INFO mapred.JobClient:  map 30% reduce 3%
14/06/16 17:42:59 INFO mapred.JobClient:  map 30% reduce 4%
14/06/16 17:43:01 INFO mapred.JobClient:  map 31% reduce 4%
14/06/16 17:43:22 INFO mapred.JobClient:  map 32% reduce 4%
14/06/16 17:43:47 INFO mapred.JobClient:  map 33% reduce 4%
14/06/16 17:44:10 INFO mapred.JobClient:  map 34% reduce 4%
14/06/16 17:44:29 INFO mapred.JobClient:  map 35% reduce 4%
14/06/16 17:44:52 INFO mapred.JobClient:  map 36% reduce 4%
14/06/16 17:45:14 INFO mapred.JobClient:  map 37% reduce 4%
14/06/16 17:45:37 INFO mapred.JobClient:  map 38% reduce 4%
14/06/16 17:45:44 INFO mapred.JobClient:  map 38% reduce 5%
14/06/16 17:45:59 INFO mapred.JobClient:  map 39% reduce 5%
14/06/16 17:46:20 INFO mapred.JobClient:  map 40% reduce 5%
14/06/16 17:46:44 INFO mapred.JobClient:  map 41% reduce 5%
14/06/16 17:47:07 INFO mapred.JobClient:  map 42% reduce 5%
14/06/16 17:47:29 INFO mapred.JobClient:  map 43% reduce 5%
14/06/16 17:48:00 INFO mapred.JobClient:  map 44% reduce 5%
14/06/16 17:48:36 INFO mapred.JobClient:  map 45% reduce 5%
14/06/16 17:49:08 INFO mapred.JobClient:  map 45% reduce 6%
14/06/16 17:49:17 INFO mapred.JobClient:  map 46% reduce 6%
14/06/16 17:50:02 INFO mapred.JobClient:  map 47% reduce 6%
14/06/16 17:50:35 INFO mapred.JobClient:  map 48% reduce 6%
14/06/16 17:51:04 INFO mapred.JobClient:  map 49% reduce 6%
14/06/16 17:51:36 INFO mapred.JobClient:  map 50% reduce 6%
14/06/16 17:52:07 INFO mapred.JobClient:  map 51% reduce 6%
14/06/16 17:52:34 INFO mapred.JobClient:  map 52% reduce 6%
14/06/16 17:53:02 INFO mapred.JobClient:  map 53% reduce 6%
14/06/16 17:53:13 INFO mapred.JobClient:  map 53% reduce 7%
14/06/16 17:53:30 INFO mapred.JobClient:  map 54% reduce 7%
14/06/16 17:53:52 INFO mapred.JobClient:  map 55% reduce 7%
14/06/16 17:54:20 INFO mapred.JobClient:  map 56% reduce 7%
14/06/16 17:54:43 INFO mapred.JobClient:  map 57% reduce 7%
14/06/16 17:55:13 INFO mapred.JobClient:  map 58% reduce 7%
14/06/16 17:55:41 INFO mapred.JobClient:  map 59% reduce 7%
14/06/16 17:56:08 INFO mapred.JobClient:  map 60% reduce 7%
14/06/16 17:56:36 INFO mapred.JobClient:  map 60% reduce 8%
14/06/16 17:56:41 INFO mapred.JobClient:  map 61% reduce 8%
14/06/16 17:57:13 INFO mapred.JobClient:  map 62% reduce 8%
14/06/16 17:57:44 INFO mapred.JobClient:  map 63% reduce 8%
14/06/16 17:58:26 INFO mapred.JobClient:  map 64% reduce 8%
14/06/16 17:59:02 INFO mapred.JobClient:  map 65% reduce 8%
14/06/16 17:59:38 INFO mapred.JobClient:  map 66% reduce 8%
14/06/16 18:00:23 INFO mapred.JobClient:  map 67% reduce 8%
14/06/16 18:01:17 INFO mapred.JobClient:  map 68% reduce 8%
14/06/16 18:01:33 INFO mapred.JobClient:  map 68% reduce 9%
14/06/16 18:01:58 INFO mapred.JobClient:  map 69% reduce 9%
14/06/16 18:02:45 INFO mapred.JobClient:  map 70% reduce 9%
14/06/16 18:03:30 INFO mapred.JobClient:  map 71% reduce 9%
14/06/16 18:04:11 INFO mapred.JobClient:  map 72% reduce 9%
14/06/16 18:04:53 INFO mapred.JobClient:  map 73% reduce 9%
14/06/16 18:05:30 INFO mapred.JobClient:  map 74% reduce 9%
14/06/16 18:06:10 INFO mapred.JobClient:  map 75% reduce 9%
14/06/16 18:06:39 INFO mapred.JobClient:  map 75% reduce 10%
14/06/16 18:06:48 INFO mapred.JobClient:  map 76% reduce 10%
14/06/16 18:07:25 INFO mapred.JobClient:  map 77% reduce 10%
14/06/16 18:08:05 INFO mapred.JobClient:  map 78% reduce 10%
14/06/16 18:08:46 INFO mapred.JobClient:  map 79% reduce 10%
14/06/16 18:09:28 INFO mapred.JobClient:  map 80% reduce 10%
14/06/16 18:10:06 INFO mapred.JobClient:  map 81% reduce 10%
14/06/16 18:10:51 INFO mapred.JobClient:  map 82% reduce 10%
14/06/16 18:11:33 INFO mapred.JobClient:  map 83% reduce 10%
14/06/16 18:11:54 INFO mapred.JobClient:  map 83% reduce 11%
14/06/16 18:12:24 INFO mapred.JobClient:  map 84% reduce 11%
14/06/16 18:13:22 INFO mapred.JobClient:  map 85% reduce 11%
14/06/16 18:14:16 INFO mapred.JobClient:  map 86% reduce 11%
14/06/16 18:15:34 INFO mapred.JobClient:  map 87% reduce 11%
14/06/16 18:16:45 INFO mapred.JobClient:  map 88% reduce 11%
14/06/16 18:17:50 INFO mapred.JobClient:  map 89% reduce 11%
14/06/16 18:19:16 INFO mapred.JobClient:  map 90% reduce 11%
14/06/16 18:20:03 INFO mapred.JobClient:  map 90% reduce 12%
14/06/16 18:20:25 INFO mapred.JobClient:  map 91% reduce 12%
14/06/16 18:21:31 INFO mapred.JobClient:  map 92% reduce 12%
14/06/16 18:22:36 INFO mapred.JobClient:  map 93% reduce 12%
14/06/16 18:23:41 INFO mapred.JobClient:  map 94% reduce 12%
14/06/16 18:24:41 INFO mapred.JobClient:  map 95% reduce 12%
14/06/16 18:25:43 INFO mapred.JobClient:  map 96% reduce 12%
14/06/16 18:26:44 INFO mapred.JobClient:  map 97% reduce 12%
14/06/16 18:27:43 INFO mapred.JobClient:  map 98% reduce 12%
14/06/16 18:28:01 INFO mapred.JobClient:  map 98% reduce 13%
14/06/16 18:28:49 INFO mapred.JobClient:  map 99% reduce 13%
14/06/16 18:30:57 INFO mapred.JobClient:  map 100% reduce 13%
14/06/16 18:31:33 INFO mapred.JobClient:  map 100% reduce 14%
14/06/16 18:31:34 INFO mapred.JobClient:  map 100% reduce 15%
14/06/16 18:31:43 INFO mapred.JobClient:  map 100% reduce 16%
14/06/16 18:31:51 INFO mapred.JobClient:  map 100% reduce 17%
14/06/16 18:31:55 INFO mapred.JobClient:  map 100% reduce 18%
14/06/16 18:31:58 INFO mapred.JobClient:  map 100% reduce 19%
14/06/16 18:32:05 INFO mapred.JobClient:  map 100% reduce 20%
14/06/16 18:32:11 INFO mapred.JobClient:  map 100% reduce 21%
14/06/16 18:32:21 INFO mapred.JobClient:  map 100% reduce 22%
14/06/16 18:32:32 INFO mapred.JobClient:  map 100% reduce 23%
14/06/16 18:32:46 INFO mapred.JobClient:  map 100% reduce 24%
14/06/16 18:32:50 INFO mapred.JobClient:  map 100% reduce 25%
14/06/16 18:32:52 INFO mapred.JobClient:  map 100% reduce 26%
14/06/16 18:32:57 INFO mapred.JobClient:  map 100% reduce 27%
14/06/16 18:33:04 INFO mapred.JobClient:  map 100% reduce 28%
14/06/16 18:33:23 INFO mapred.JobClient:  map 100% reduce 29%
14/06/16 18:33:34 INFO mapred.JobClient:  map 100% reduce 30%
14/06/16 18:34:02 INFO mapred.JobClient:  map 100% reduce 31%
14/06/16 18:34:36 INFO mapred.JobClient:  map 100% reduce 32%
14/06/16 18:35:14 INFO mapred.JobClient:  map 100% reduce 33%
14/06/16 18:35:59 INFO mapred.JobClient:  map 100% reduce 34%
14/06/16 18:36:47 INFO mapred.JobClient:  map 100% reduce 35%
14/06/16 18:37:41 INFO mapred.JobClient:  map 100% reduce 36%
14/06/16 18:38:39 INFO mapred.JobClient:  map 100% reduce 37%
14/06/16 18:39:43 INFO mapred.JobClient:  map 100% reduce 38%
14/06/16 18:40:55 INFO mapred.JobClient:  map 100% reduce 39%
14/06/16 18:42:12 INFO mapred.JobClient:  map 100% reduce 40%
14/06/16 18:43:29 INFO mapred.JobClient:  map 100% reduce 41%
14/06/16 18:44:47 INFO mapred.JobClient:  map 100% reduce 42%
14/06/16 18:46:14 INFO mapred.JobClient:  map 100% reduce 43%
14/06/16 18:47:33 INFO mapred.JobClient:  map 100% reduce 44%
14/06/16 18:49:09 INFO mapred.JobClient:  map 100% reduce 45%
14/06/16 18:50:53 INFO mapred.JobClient:  map 100% reduce 46%
14/06/16 18:52:12 INFO mapred.JobClient:  map 100% reduce 47%
14/06/16 18:54:03 INFO mapred.JobClient:  map 100% reduce 48%
14/06/16 18:55:36 INFO mapred.JobClient:  map 100% reduce 49%
14/06/16 18:56:16 INFO mapred.JobClient:  map 100% reduce 50%
14/06/16 18:56:29 INFO mapred.JobClient:  map 100% reduce 51%
14/06/16 18:56:39 INFO mapred.JobClient:  map 100% reduce 52%
14/06/16 18:56:45 INFO mapred.JobClient:  map 100% reduce 53%
14/06/16 18:57:12 INFO mapred.JobClient:  map 100% reduce 54%
14/06/16 18:57:45 INFO mapred.JobClient:  map 100% reduce 55%
14/06/16 18:58:23 INFO mapred.JobClient:  map 100% reduce 56%
14/06/16 18:58:56 INFO mapred.JobClient:  map 100% reduce 57%
14/06/16 18:59:43 INFO mapred.JobClient:  map 100% reduce 58%
14/06/16 19:00:45 INFO mapred.JobClient:  map 100% reduce 59%
14/06/16 19:01:49 INFO mapred.JobClient:  map 100% reduce 60%
14/06/16 19:02:20 INFO mapred.JobClient:  map 100% reduce 61%
14/06/16 19:02:48 INFO mapred.JobClient:  map 100% reduce 62%
14/06/16 19:03:13 INFO mapred.JobClient:  map 100% reduce 63%
14/06/16 19:03:59 INFO mapred.JobClient:  map 100% reduce 64%
14/06/16 19:05:13 INFO mapred.JobClient:  map 100% reduce 65%
14/06/16 19:06:11 INFO mapred.JobClient:  map 100% reduce 66%
14/06/16 19:07:28 INFO mapred.JobClient:  map 100% reduce 67%
14/06/16 19:08:22 INFO mapred.JobClient:  map 100% reduce 68%
14/06/16 19:09:16 INFO mapred.JobClient:  map 100% reduce 69%
14/06/16 19:10:42 INFO mapred.JobClient:  map 100% reduce 70%
14/06/16 19:11:52 INFO mapred.JobClient:  map 100% reduce 71%
14/06/16 19:12:17 INFO mapred.JobClient:  map 100% reduce 72%
14/06/16 19:12:58 INFO mapred.JobClient:  map 100% reduce 73%
14/06/16 19:13:24 INFO mapred.JobClient:  map 100% reduce 74%
14/06/16 19:13:52 INFO mapred.JobClient:  map 100% reduce 75%
14/06/16 19:14:27 INFO mapred.JobClient:  map 100% reduce 76%
14/06/16 19:15:10 INFO mapred.JobClient:  map 100% reduce 77%
14/06/16 19:15:53 INFO mapred.JobClient:  map 100% reduce 78%
14/06/16 19:16:24 INFO mapred.JobClient:  map 100% reduce 79%
14/06/16 19:17:06 INFO mapred.JobClient:  map 100% reduce 80%
14/06/16 19:18:28 INFO mapred.JobClient:  map 100% reduce 81%
14/06/16 19:19:46 INFO mapred.JobClient:  map 100% reduce 82%
14/06/16 19:20:16 INFO mapred.JobClient:  map 100% reduce 83%
14/06/16 19:20:35 INFO mapred.JobClient:  map 100% reduce 84%
14/06/16 19:20:45 INFO mapred.JobClient:  map 100% reduce 85%
14/06/16 19:21:11 INFO mapred.JobClient:  map 100% reduce 86%
14/06/16 19:21:38 INFO mapred.JobClient:  map 100% reduce 87%
14/06/16 19:22:19 INFO mapred.JobClient:  map 100% reduce 88%
14/06/16 19:22:46 INFO mapred.JobClient:  map 100% reduce 89%
14/06/16 19:23:25 INFO mapred.JobClient:  map 100% reduce 90%
14/06/16 19:24:19 INFO mapred.JobClient:  map 100% reduce 91%
14/06/16 19:25:09 INFO mapred.JobClient:  map 100% reduce 92%
14/06/16 19:26:12 INFO mapred.JobClient:  map 100% reduce 93%
14/06/16 19:27:10 INFO mapred.JobClient:  map 100% reduce 94%
14/06/16 19:28:21 INFO mapred.JobClient:  map 100% reduce 95%
14/06/16 19:29:49 INFO mapred.JobClient:  map 100% reduce 96%
14/06/16 19:30:51 INFO mapred.JobClient:  map 100% reduce 97%
14/06/16 19:31:59 INFO mapred.JobClient:  map 100% reduce 98%
14/06/16 19:33:40 INFO mapred.JobClient:  map 100% reduce 99%
14/06/16 19:39:05 INFO mapred.JobClient:  map 100% reduce 100%
14/06/16 19:39:11 INFO mapred.JobClient: Job complete: job_201406131535_0046
14/06/16 19:39:11 INFO mapred.JobClient: Counters: 31
14/06/16 19:39:11 INFO mapred.JobClient:   Job Counters 
14/06/16 19:39:11 INFO mapred.JobClient:     Launched reduce tasks=112
14/06/16 19:39:11 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=137185285
14/06/16 19:39:11 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/06/16 19:39:11 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/06/16 19:39:11 INFO mapred.JobClient:     Rack-local map tasks=385
14/06/16 19:39:11 INFO mapred.JobClient:     Launched map tasks=3019
14/06/16 19:39:11 INFO mapred.JobClient:     Data-local map tasks=2634
14/06/16 19:39:11 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=274249266
14/06/16 19:39:11 INFO mapred.JobClient:   File Input Format Counters 
14/06/16 19:39:11 INFO mapred.JobClient:     Bytes Read=400380108800
14/06/16 19:39:11 INFO mapred.JobClient:   File Output Format Counters 
14/06/16 19:39:11 INFO mapred.JobClient:     Bytes Written=400000000000
14/06/16 19:39:11 INFO mapred.JobClient:   FileSystemCounters
14/06/16 19:39:11 INFO mapred.JobClient:     FILE_BYTES_READ=1316830596618
14/06/16 19:39:11 INFO mapred.JobClient:     HDFS_BYTES_READ=400380471800
14/06/16 19:39:11 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=1570484729320
14/06/16 19:39:11 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=400000000000
14/06/16 19:39:11 INFO mapred.JobClient:   Map-Reduce Framework
14/06/16 19:39:11 INFO mapred.JobClient:     Map output materialized bytes=408001800000
14/06/16 19:39:11 INFO mapred.JobClient:     Map input records=4000000000
14/06/16 19:39:11 INFO mapred.JobClient:     Reduce shuffle bytes=408001800000
14/06/16 19:39:11 INFO mapred.JobClient:     Spilled Records=15394964109
14/06/16 19:39:11 INFO mapred.JobClient:     Map output bytes=400000000000
14/06/16 19:39:11 INFO mapred.JobClient:     Total committed heap usage (bytes)=447157731328
14/06/16 19:39:11 INFO mapred.JobClient:     CPU time spent (ms)=43396050
14/06/16 19:39:11 INFO mapred.JobClient:     Map input bytes=400000000000
14/06/16 19:39:11 INFO mapred.JobClient:     SPLIT_RAW_BYTES=363000
14/06/16 19:39:11 INFO mapred.JobClient:     Combine input records=0
