14/06/14 08:35:36 INFO terasort.TeraSort: starting
14/06/14 08:35:37 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/14 08:35:37 WARN snappy.LoadSnappy: Snappy native library is available
14/06/14 08:35:37 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/14 08:35:37 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/14 08:35:39 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/14 08:35:39 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/14 08:35:41 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/14 08:35:45 INFO mapred.JobClient: Running job: job_201406131535_0016
14/06/14 08:35:46 INFO mapred.JobClient:  map 0% reduce 0%
14/06/14 08:36:01 INFO mapred.JobClient:  map 1% reduce 0%
14/06/14 08:36:02 INFO mapred.JobClient:  map 2% reduce 0%
14/06/14 08:36:06 INFO mapred.JobClient:  map 3% reduce 0%
14/06/14 08:36:12 INFO mapred.JobClient:  map 4% reduce 0%
14/06/14 08:36:18 INFO mapred.JobClient:  map 5% reduce 0%
14/06/14 08:36:22 INFO mapred.JobClient:  map 6% reduce 0%
14/06/14 08:36:29 INFO mapred.JobClient:  map 7% reduce 0%
14/06/14 08:36:33 INFO mapred.JobClient:  map 8% reduce 0%
14/06/14 08:36:40 INFO mapred.JobClient:  map 9% reduce 0%
14/06/14 08:36:49 INFO mapred.JobClient:  map 10% reduce 0%
14/06/14 08:36:58 INFO mapred.JobClient:  map 11% reduce 0%
14/06/14 08:37:03 INFO mapred.JobClient:  map 12% reduce 0%
14/06/14 08:37:09 INFO mapred.JobClient:  map 13% reduce 0%
14/06/14 08:37:10 INFO mapred.JobClient:  map 13% reduce 1%
14/06/14 08:37:15 INFO mapred.JobClient:  map 14% reduce 1%
14/06/14 08:37:23 INFO mapred.JobClient:  map 15% reduce 1%
14/06/14 08:37:30 INFO mapred.JobClient:  map 16% reduce 1%
14/06/14 08:37:37 INFO mapred.JobClient:  map 17% reduce 1%
14/06/14 08:37:43 INFO mapred.JobClient:  map 18% reduce 1%
