[hadoop@hadoop-master ~]$ time hadoop jar /opt/cesga/hadoop/hadoop-examples-1.2.1.jar terasort -D mapred.reduce.slowstart.completed.maps=0.95 /user/hadoop/terasort-input-100-2 /user/hadoop/terasort-output-100-2-2
14/06/10 14:52:45 INFO terasort.TeraSort: starting
14/06/10 14:52:46 INFO mapred.FileInputFormat: Total input paths to process : 20
14/06/10 14:52:46 WARN snappy.LoadSnappy: Snappy native library is available
14/06/10 14:52:46 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/10 14:52:46 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/10 14:52:47 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/10 14:52:47 INFO compress.CodecPool: Got brand-new compressor
Making 20 from 100000 records
Step size is 5000.0
14/06/10 14:52:48 INFO mapred.FileInputFormat: Total input paths to process : 20
14/06/10 14:52:49 INFO mapred.JobClient: Running job: job_201406101030_0008
14/06/10 14:52:50 INFO mapred.JobClient:  map 0% reduce 0%
14/06/10 14:53:04 INFO mapred.JobClient:  map 1% reduce 0%
14/06/10 14:53:06 INFO mapred.JobClient:  map 2% reduce 0%
14/06/10 14:53:20 INFO mapred.JobClient:  map 3% reduce 0%
14/06/10 14:53:26 INFO mapred.JobClient:  map 4% reduce 0%
14/06/10 14:53:32 INFO mapred.JobClient:  map 5% reduce 0%
14/06/10 14:53:42 INFO mapred.JobClient:  map 6% reduce 0%
14/06/10 14:53:48 INFO mapred.JobClient:  map 7% reduce 0%
14/06/10 14:53:56 INFO mapred.JobClient:  map 8% reduce 0%
14/06/10 14:54:01 INFO mapred.JobClient:  map 9% reduce 0%
14/06/10 14:54:12 INFO mapred.JobClient:  map 10% reduce 0%
14/06/10 14:54:16 INFO mapred.JobClient:  map 11% reduce 0%
14/06/10 14:54:23 INFO mapred.JobClient:  map 12% reduce 0%
14/06/10 14:54:34 INFO mapred.JobClient:  map 13% reduce 0%
14/06/10 14:54:39 INFO mapred.JobClient:  map 14% reduce 0%
14/06/10 14:54:47 INFO mapred.JobClient:  map 15% reduce 0%
14/06/10 14:54:55 INFO mapred.JobClient:  map 16% reduce 0%
14/06/10 14:55:02 INFO mapred.JobClient:  map 17% reduce 0%
14/06/10 14:55:08 INFO mapred.JobClient:  map 18% reduce 0%
14/06/10 14:55:17 INFO mapred.JobClient:  map 19% reduce 0%
14/06/10 14:55:26 INFO mapred.JobClient:  map 20% reduce 0%
14/06/10 14:55:31 INFO mapred.JobClient:  map 21% reduce 0%
14/06/10 14:55:40 INFO mapred.JobClient:  map 22% reduce 0%
14/06/10 14:55:50 INFO mapred.JobClient:  map 23% reduce 0%
14/06/10 14:55:55 INFO mapred.JobClient:  map 24% reduce 0%
14/06/10 14:56:04 INFO mapred.JobClient:  map 25% reduce 0%
14/06/10 14:56:12 INFO mapred.JobClient:  map 26% reduce 0%
14/06/10 14:56:17 INFO mapred.JobClient:  map 27% reduce 0%
14/06/10 14:56:25 INFO mapred.JobClient:  map 28% reduce 0%
14/06/10 14:56:34 INFO mapred.JobClient:  map 29% reduce 0%
14/06/10 14:56:40 INFO mapred.JobClient:  map 30% reduce 0%
14/06/10 14:56:49 INFO mapred.JobClient:  map 31% reduce 0%
14/06/10 14:56:57 INFO mapred.JobClient:  map 32% reduce 0%
14/06/10 14:57:02 INFO mapred.JobClient:  map 33% reduce 0%
14/06/10 14:57:11 INFO mapred.JobClient:  map 34% reduce 0%
14/06/10 14:57:20 INFO mapred.JobClient:  map 35% reduce 0%
14/06/10 14:57:27 INFO mapred.JobClient:  map 36% reduce 0%
14/06/10 14:57:33 INFO mapred.JobClient:  map 37% reduce 0%
